type,entry_time,entry_price,sl,tp,lots,spread,profit,exit_time,exit_price,reason,commission
SELL,2024-12-13 11:00:00+00:00,2686.6999505518907,2718.8398919581405,2622.4200677393906,3.09992096172762e-05,0.0,41.229098232403075,2024-12-16 15:00:00+00:00,2673.39990234375,SIGNAL_EXIT,0.0
SELL,2024-12-16 20:00:00+00:00,2669.8000478905046,2691.1399404686294,2627.1202627342545,4.6881008744537016e-05,0.0,6.564023562102834,2024-12-17 05:00:00+00:00,2668.39990234375,SIGNAL_EXIT,0.0
SELL,2024-12-17 07:00:00+00:00,2666.300047607281,2682.7000476072812,2633.500047607281,6.104220078772983e-05,0.0,200.21841858375493,2024-12-17 13:00:00+00:00,2633.500047607281,TAKE_PROFIT,0.0
SELL,2024-12-17 14:00:00+00:00,2649.9999994161717,2684.979931056797,2580.040136134922,2.9191421677658254e-05,0.0,-39.992106866430944,2024-12-18 00:00:00+00:00,2663.699951171875,SIGNAL_EXIT,0.0
SELL,2024-12-18 19:00:00+00:00,2651.8000475816584,2668.1200182847833,2619.1601061754086,6.232331801280384e-05,0.0,203.4229448180991,2024-12-18 20:00:00+00:00,2619.1601061754086,TAKE_PROFIT,0.0
SELL,2024-12-19 07:00:00+00:00,2625.1999501045343,2644.6399891670344,2586.319871979534,5.3367023349946596e-05,0.0,81.65180061050744,2024-12-19 14:00:00+00:00,2609.89990234375,SIGNAL_EXIT,0.0
SELL,2024-12-19 16:00:00+00:00,2602.9999988634513,2621.399950035326,2566.200096519701,5.682744420711474e-05,0.0,-104.56221986333517,2024-12-20 07:00:00+00:00,2621.399950035326,STOP_LOSS,0.0
SELL,2024-12-20 08:00:00+00:00,2620.10009584651,2631.54003725276,2597.22021303401,9.048699987934245e-05,0.0,8.145139106510225,2024-12-20 11:00:00+00:00,2619.199951171875,SIGNAL_EXIT,0.0
SELL,2024-12-23 19:00:00+00:00,2627.1000959410408,2639.180027581666,2602.9402326597906,8.576045969280661e-05,0.0,-103.59804905576874,2024-12-26 05:00:00+00:00,2639.180027581666,STOP_LOSS,0.0
SELL,2024-12-27 16:00:00+00:00,2633.399900678784,2645.719920210034,2608.759861616284,8.324830030103386e-05,0.0,205.12413713041974,2024-12-30 16:00:00+00:00,2608.759861616284,TAKE_PROFIT,0.0
SELL,2024-12-30 17:00:00+00:00,2612.199950028554,2630.4998523723043,2575.600145341054,5.716604819601305e-05,0.0,-94.32398605933466,2024-12-31 09:00:00+00:00,2628.699951171875,SIGNAL_EXIT,0.0
SELL,2025-01-06 08:00:00+00:00,2638.600096018487,2651.260056955987,2613.280174143487,8.188814372155019e-05,0.0,-103.67007007591964,2025-01-06 11:00:00+00:00,2651.260056955987,STOP_LOSS,0.0
SELL,2025-01-06 14:00:00+00:00,2634.49999910831,2657.519969811435,2588.46005770206,4.458449174360994e-05,0.0,-48.15147275636678,2025-01-06 16:00:00+00:00,2645.300048828125,SIGNAL_EXIT,0.0
SELL,2025-01-27 17:00:00+00:00,2736.899901365283,2757.779881834033,2695.1399404277827,4.892334779741951e-05,0.0,-102.15185464759871,2025-01-28 14:00:00+00:00,2757.779881834033,STOP_LOSS,0.0
